Release.Date,Movie,Production.Budget,Domestic.Gross,Worldwide.Gross,Rate,Raters,Genres,imdbUrl,Directed.by,Produced.by,Written.by,Starring,Music.by,Cinematography,Edited.by,Production.company,Distributed.by,Release.date,Running.time,Country,Language,Budget,Box.office,wikiUrl,image,Screenplay.by,Story.by,Based.on,Production.companies
3/7/2008,"10,000 B.C.","$105,000,000","$94,784,201","$269,065,678",5.1,"114,408",Action Adventure Drama Fantasy History,http://www.imdb.com/title/tt0443649/,Roland Emmerich,"Roland EmmerichMark Gordon
Michael Wimer",Roland EmmerichHarald Kloser,"Steven StraitCamilla BelleCliff Curtis
Joel Virgel
Nathanael BaringAffif Ben BadraMarco KhanTim Barlow",Harald KloserThomas Wander,Ueli Steiger,Alexander Berner,Legendary PicturesCentropolis Entertainment,Warner Bros. Pictures,"March 7, 2008 (2008-03-07)",109 minutes,United States,English,$105 million,$269.8 million,"https://en.wikipedia.org/wiki/10,000_BC_(film)",//upload.wikimedia.org/wikipedia/en/thumb/b/bf/Ten_thousand_b_c.jpg/220px-Ten_thousand_b_c.jpg,NA,NA,NA,NA
11/22/2000,102 Dalmatians,"$85,000,000","$66,941,559","$66,941,559",4.9,"28,686",Adventure Comedy Family,http://www.imdb.com/title/tt0211181/,Kevin Lima,Edward S. Feldman,NA,"Glenn Close
Ioan Gruffudd
Alice Evans
Tim McInnerny
Gérard Depardieu",David Newman,Adrian Biddle,Gregory Perler,Walt Disney Pictures,Buena Vista Pictures,"November 22, 2000 (November 22, 2000)",100 minutes,United States,English,$85 million,$183.6 million[1],https://en.wikipedia.org/wiki/102_Dalmatians,//upload.wikimedia.org/wikipedia/en/thumb/f/fe/102_dalmatians_poster.jpg/220px-102_dalmatians_poster.jpg,"Kristen BuckleyBrian Regan
Bob Tzudiker
Noni White","Kristen Buckley
Brian Regan","The Hundred and One Dalmatians
by Dodie Smith",NA
6/6/2003,2 Fast 2 Furious,"$76,000,000","$127,120,058","$236,410,607",5.9,"212,305",Action Crime Thriller,http://www.imdb.com/title/tt0322259/,John Singleton,Neal H. Moritz,NA,"Paul Walker
Tyrese Gibson
Chris ""Ludacris"" Bridges
Eva Mendes
Cole Hauser",David Arnold,Matthew F. Leonetti,"Bruce Cannon
Dallas Puett","Mikona Productions GmbH & Co. KG
Original Film",Universal Pictures,"June 6, 2003 (2003-06-06)",103 minutes[1],United States,English,$76 million[2],$236.3 million[2],https://en.wikipedia.org/wiki/2_Fast_2_Furious,//upload.wikimedia.org/wikipedia/en/thumb/9/9d/Two_fast_two_furious_ver5.jpg/220px-Two_fast_two_furious_ver5.jpg,"Michael Brandt
Derek Haas","Gary Scott Thompson
Michael Brandt
Derek Haas","Characters
by Gary Scott Thompson",NA
11/13/2009,2012,"$200,000,000","$166,112,167","$788,408,539",5.8,"305,094",Action Adventure Sci-Fi,http://www.imdb.com/title/tt1190080/,Roland Emmerich,Harald KloserMark GordonLarry J. Franco,"Harald Kloser
Roland Emmerich","John Cusack
Chiwetel Ejiofor
Amanda Peet
Oliver Platt
Thandie Newton
Danny Glover
Woody Harrelson",Harald KloserThomas Wander,Dean Semler,"David Brenner
Peter Elliott",Centropolis Entertainment,Columbia Pictures,"November 13, 2009 (2009-11-13)",158 minutes,United States[1],English,$200 million[2],$769.7 million[3],https://en.wikipedia.org/wiki/2012_(film),//upload.wikimedia.org/wikipedia/en/thumb/d/dd/2012_Poster.jpg/220px-2012_Poster.jpg,NA,NA,NA,NA
3/7/2014,300: Rise of an Empire,"$110,000,000","$106,580,051","$330,780,051",6.2,"244,120",Action Fantasy,http://www.imdb.com/title/tt1253863/,Noam Murro,"Mark Canton
Bernie Goldmann
Gianni Nunnari
Deborah Snyder
Thomas Tull
Zack Snyder",NA,"Sullivan Stapleton
Eva Green
Lena Headey
Hans Matheson
David Wenham
Rodrigo Santoro",Junkie XL[3],Simon Duggan,"Wyatt Smith
David Brenner",NA,Warner Bros. Pictures,"March 4, 2014 (2014-03-04) (TCL Chinese Theatre)[4]
March 7, 2014 (2014-03-07) (United States)",102 minutes[5],United States,English,$110 million[6],$337.6 million[6],https://en.wikipedia.org/wiki/300:_Rise_of_an_Empire,//upload.wikimedia.org/wikipedia/en/thumb/9/91/300_Rise_of_an_Empire.jpg/220px-300_Rise_of_an_Empire.jpg,"Kurt Johnstad
Zack Snyder",NA,"Xerxes (unpublished)[1][2]
by Frank Miller","Legendary Pictures
Cruel and Unusual Films
Atmosphere Pictures
Hollywood Gang Productions"
12/25/2013,47 Ronin,"$175,000,000","$38,362,475","$151,716,815",6.3,"126,284",Action Adventure Drama Fantasy,http://www.imdb.com/title/tt1335975/,Carl Rinsch,"Pamela Abdy
Eric McLeod",NA,Keanu ReevesHiroyuki SanadaRinko KikuchiMin Tanaka,Ilan Eshkeri,John Mathieson,Stuart Baird,"H2F Entertainment
Mid Atlantic FilmsMoving Picture Company
Stuber Productions",Universal PicturesRelativity Media,"December 6, 2013 (2013-12-06) (Japan)
December 25, 2013 (2013-12-25) (United States)",127 minutes,United States,English,$175 million[1],$151.8 million[1],https://en.wikipedia.org/wiki/47_Ronin_(2013_film),//upload.wikimedia.org/wikipedia/en/thumb/6/6a/47Ronin2012Poster.jpg/220px-47Ronin2012Poster.jpg,Chris MorganHossein Amini,"Chris Morgan
Walter Hamada",NA,NA
2/13/2004,50 First Dates,"$75,000,000","$120,776,832","$196,320,329",6.8,"284,770",Comedy Romance,http://www.imdb.com/title/tt0343660/,Peter Segal,Jack GiarraputoSteve GolinNancy Juvonen,George Wing,Adam SandlerDrew BarrymoreRob SchneiderSean AstinDan Aykroyd,Teddy Castellucci,Jack N. Green,Jeff Gourson,Happy MadisonAnonymous ContentFlower Films,Columbia Pictures,"February 13, 2004 (2004-02-13)",99 minutes,United States,English,$75 million[1],$196.3 million[1],https://en.wikipedia.org/wiki/50_First_Dates,//upload.wikimedia.org/wikipedia/en/thumb/9/9d/50FirstDates.jpg/215px-50FirstDates.jpg,NA,NA,NA,NA
12/21/2001,A Beautiful Mind,"$78,000,000","$170,708,996","$317,668,058",8.2,"685,872",Biography Drama,http://www.imdb.com/title/tt0268978/,Ron Howard,"Brian Grazer
Ron Howard",NA,"Russell Crowe
Ed Harris
Jennifer Connelly
Paul Bettany
Adam Goldberg
Judd Hirsch
Josh Lucas
Anthony Rapp
Christopher Plummer",James Horner,Roger Deakins,"Daniel P. Hanley
Mike Hill",Imagine Entertainment,"Universal Pictures(North America)
DreamWorks Pictures(International)","December 13, 2001 (2001-12-13) (Beverly Hills premiere)
December 21, 2001 (2001-12-21) (United States)",135 minutes,United States,English,$58 million[1],$313 million[1],https://en.wikipedia.org/wiki/A_Beautiful_Mind_%28film%29,//upload.wikimedia.org/wikipedia/en/thumb/b/b8/A_Beautiful_Mind_Poster.jpg/220px-A_Beautiful_Mind_Poster.jpg,Akiva Goldsman,NA,"A Beautiful Mind
by Sylvia Nasar",NA
2/14/2013,A Good Day to Die Hard,"$92,000,000","$67,349,198","$304,249,198",5.3,"176,436",Action Thriller,http://www.imdb.com/title/tt1606378/,John Moore,"Alex Young
Wyck Godfrey",NA,"Bruce Willis
Jai Courtney
Sebastian Koch
Rasha Bukvić
Cole Hauser
Yuliya Snigir",Marco Beltrami,Jonathan Sela,Dan Zimmerman,"Giant Pictures
TSG Entertainment",20th Century Fox,"January 31, 2013 (2013-01-31) (Leicester Square)
February 14, 2013 (2013-02-14) (United States)",97 minutes[1],United States,"English
Russian",$92 million[1],$304.7 million[1],https://en.wikipedia.org/wiki/Die_Hard_5,//upload.wikimedia.org/wikipedia/en/thumb/1/19/A_Good_Day_to_Die_Hard.jpg/220px-A_Good_Day_to_Die_Hard.jpg,Skip Woods,NA,"Characters
by Roderick Thorp",NA
9/2/2005,A Sound of Thunder,"$80,000,000","$1,900,451","$6,300,451",4.2,"17,197",Action Adventure Horror Sci-Fi Thriller,http://www.imdb.com/title/tt0318081/,Peter Hyams,"Moshe Diamant
Howard Baldwin
Karen Baldwin",NA,"Edward Burns
Catherine McCormack
Ben Kingsley",Nick Glennie-Smith,Peter Hyams,Sylvie Landra,"Franchise Pictures
Crusader Entertainment
Baldwin Entertainment Group
Etic Films
Forge
QI Quality International[1]","Warner Bros. (US)
Bioscop (CR)","September 2, 2005 (2005-09-02) (United States)",103 minutes,"United Kingdom
United States
Germany
Czech Republic","English
Mandarin",$80 million[2],$11.7 million[2],https://en.wikipedia.org/wiki/A_Sound_of_Thunder_%28film%29,//upload.wikimedia.org/wikipedia/en/5/59/A_Sound_of_Thunder_poster.jpg,"Thomas Dean Donnelly
Joshua Oppenheimer
Gregory Poirier",NA,"A Sound of Thunder
by Ray Bradbury",NA
